  Optical depth from the centre to the edge of the nubula 
  direction: 1,0,0
  lambda [um]    tau(R_max) 
  0.168054283       0.00000000    
  0.162642494       0.00000000    
  0.157405004       0.00000000    
  0.152336150       0.00000000    
  0.147430524       0.00000000    
  0.142682880       0.00000000    
  0.138088137       0.00000000    
  0.133641347       0.00000000    
  0.129337743       0.00000000    
  0.125172749       0.00000000    
  0.121141851       0.00000000    
  0.119723171       0.00000000    
  0.119675994       9.12151847E-08
  0.119628876       9.12453544E-08
  0.117240772       9.28158528E-08
  0.113465324       9.54871098E-08
  0.110150337       9.80385124E-08
  0.110110424       5.48841548E-04
  0.110070527       5.48743294E-04
  0.109811448       5.48100332E-04
  0.106275231       5.38414053E-04
  0.102852903       5.27455122E-04
   9.95407626E-02   5.15417603E-04
   9.63352993E-02   5.02482348E-04
   9.32330489E-02   4.88815829E-04
   9.12057534E-02   4.79303213E-04
   9.11783800E-02   3.05730367    
   9.11510214E-02   3.05604935    
   9.10583735E-02   3.04771090    
   9.10310820E-02   3.04527760    
   9.10038128E-02   3.04282594    
   9.02307034E-02   2.97383976    
   8.73250514E-02   2.72290707    
   8.53538737E-02   2.56011891    
   8.53299052E-02   2.55818272    
   8.53059292E-02   2.55624032    
   8.45129564E-02   2.49249220    
   8.17914233E-02   2.28096795    
   7.91575238E-02   2.08684897    
   7.86906481E-02   2.05351448    
   7.86702633E-02   2.05206609    
   7.86498785E-02   2.05062056    
   7.66084492E-02   1.90875506    
   7.41414651E-02   1.74541128    
   7.17539117E-02   1.59563971    
   6.94432482E-02   1.45835078    
   6.72069937E-02   1.33254075    
   6.50427565E-02   1.21728098    
   6.29482195E-02   1.11171675    
   6.09211214E-02   1.01505864    
   5.89593053E-02  0.926579595    
   5.75175360E-02  0.864679694    
   5.75066507E-02  0.864238381    
   5.74957617E-02  0.863780737    
   5.70606589E-02  0.845625997    
   5.52231595E-02  0.771547914    
   5.34448288E-02  0.703792453    
   5.31530380E-02  0.693039656    
   5.31437360E-02  0.692804813    
   5.31344414E-02  0.692463994    
   5.17237671E-02  0.641938925    
   5.08634560E-02  0.612276137    
   5.08549362E-02  0.792047322    
   5.08464240E-02  0.791773558    
   5.04092276E-02   1.29522872    
   5.04008569E-02   1.29482627    
   5.03925011E-02   1.29442370    
   5.00581302E-02   1.27831709    
   4.84461300E-02   1.20047224    
   4.68860380E-02   1.12545300    
   4.53761928E-02   1.05376506    
   4.48797159E-02   1.03046763    
   4.48730923E-02   1.03019345    
   4.48664650E-02   1.02988338    
   4.39149626E-02  0.985691845    
   4.25007902E-02  0.921252847    
   4.18923721E-02  0.894031465    
   4.18865979E-02  0.900214493    
   4.18808199E-02  0.899959087    
   4.11321558E-02  0.867032945    
   3.98075953E-02  0.809858024    
   3.85256894E-02  0.756003320    
   3.72850634E-02  0.705397725    
   3.60843912E-02  0.657924473    
   3.56011651E-02  0.639249802    
   3.55969965E-02  0.639469266    
   3.55928242E-02  0.639309287    
   3.53071578E-02  0.628391922    
   3.53030562E-02  0.659634590    
   3.52989584E-02  0.659488857    
   3.49223800E-02  0.646102190    
   3.37977894E-02  0.606080055    
   3.27094123E-02  0.567627549    
   3.16560902E-02  0.530982971    
   3.06366812E-02  0.496250570    
   3.04361172E-02  0.489514589    
   3.04330681E-02  0.489815235    
   3.04300189E-02  0.489712894    
   3.02726310E-02  0.484439790    
   3.02696135E-02  0.510725856    
   3.02665997E-02  0.510632038    
   2.96500996E-02  0.491544038    
   2.86952928E-02  0.462363720    
   2.77712289E-02  0.434611440    
   2.68769264E-02  0.408253670    
   2.62090527E-02  0.388914049    
   2.62067895E-02  0.389122307    
   2.62045301E-02  0.389057487    
   2.61317175E-02  0.386971086    
   2.61294711E-02  0.414016545    
   2.61272229E-02  0.413996398    
   2.60114186E-02  0.412851661    
   2.58916058E-02  0.411454797    
   2.58893985E-02   1.81951094    
   2.58871932E-02   1.81929016    
   2.51737870E-02   1.74566364    
   2.43631266E-02   1.65872824    
   2.35785674E-02   1.57354128    
   2.28192750E-02   1.49121201    
   2.27834024E-02   1.48733640    
   2.27816943E-02   57.8640938    
   2.27799863E-02   57.8525467    
   2.25689020E-02   56.4367867    
   2.25672256E-02   56.6097221    
   2.25655511E-02   56.5985336    
   2.20844317E-02   53.4428940    
   2.13732570E-02   48.9735222    
   2.07311139E-02   45.1356888    
   2.07296982E-02   45.1275444    
   2.07282845E-02   45.1192932    
   2.06849836E-02   44.8672562    
   2.00188737E-02   41.0955391    
   1.95386559E-02   38.4982872    
   1.95373986E-02   38.5420456    
   1.95361432E-02   38.5354385    
   1.93742160E-02   37.6888771    
   1.92265753E-02   36.9262733    
   1.92253590E-02   36.9309502    
   1.92241427E-02   36.9246941    
   1.87503174E-02   34.5371895    
   1.81465074E-02   31.6276684    
   1.75621454E-02   28.9537773    
   1.70598906E-02   26.7666416    
   1.70589332E-02   26.7625751    
   1.70579758E-02   26.7584991    
   1.69965979E-02   26.4982681    
   1.65277366E-02   24.5603333    
   1.65268369E-02   24.5566959    
   1.65259391E-02   24.5530796    
   1.64492652E-02   24.2445793    
   1.60174221E-02   22.5506897    
   1.60165764E-02   22.5474548    
   1.60157327E-02   22.5442028    
   1.60050169E-02   22.5031166    
   1.60041731E-02   22.5002918    
   1.60033293E-02   22.4970627    
   1.59195568E-02   22.1774540    
   1.54069047E-02   20.2814121    
   1.49107641E-02   18.5432396    
   1.44305974E-02   16.9502831    
   1.40817789E-02   15.8472776    
   1.40811279E-02   15.8452635    
   1.40804742E-02   15.8432379    
   1.39658973E-02   15.4908266    
   1.36237657E-02   14.4671764    
   1.36231547E-02   14.4653854    
